subset,dataset,datatype,num_samples,resolution,method,psnr,ssim,mse,hf_ratio
MetalSet-LevelILT,MetalSet,LevelILT,100,128,PointWise,22.053488,0.908066,0.006877,1.095349
MetalSet-LevelILT,MetalSet,LevelILT,100,128,Average,26.317875,0.96433,0.002579,0.647545
MetalSet-LevelILT,MetalSet,LevelILT,100,128,Fourier,17.969234,0.44154,0.016707,0.446102
MetalSet-LevelILT,MetalSet,LevelILT,100,256,PointWise,25.30461,0.956508,0.003255,1.094221
MetalSet-LevelILT,MetalSet,LevelILT,100,256,Average,29.340027,0.982541,0.001283,0.65948
MetalSet-LevelILT,MetalSet,LevelILT,100,256,Fourier,18.642782,0.462074,0.014307,0.464243
MetalSet-LevelILT,MetalSet,LevelILT,100,512,PointWise,28.891701,0.980958,0.001427,1.089503
MetalSet-LevelILT,MetalSet,LevelILT,100,512,Average,32.476291,0.991595,0.000623,0.685992
MetalSet-LevelILT,MetalSet,LevelILT,100,512,Fourier,18.887171,0.466242,0.013506,0.47787
MetalSet-LevelILT,MetalSet,LevelILT,100,1024,PointWise,33.382159,0.993231,0.000508,1.070609
MetalSet-LevelILT,MetalSet,LevelILT,100,1024,Average,36.267473,0.996506,0.000261,0.68759
MetalSet-LevelILT,MetalSet,LevelILT,100,1024,Fourier,18.61613,0.453791,0.013956,0.450021
MetalSet-Litho,MetalSet,Litho,100,128,PointWise,33.61705,0.991281,6.3e-05,8.284141
MetalSet-Litho,MetalSet,Litho,100,128,Average,39.071865,0.997511,1.8e-05,8.016792
MetalSet-Litho,MetalSet,Litho,100,128,Fourier,33.57557,0.990912,6.4e-05,8.237089
MetalSet-Litho,MetalSet,Litho,100,256,PointWise,39.800142,0.9979,1.5e-05,4.452653
MetalSet-Litho,MetalSet,Litho,100,256,Average,44.774611,0.999332,5e-06,4.280147
MetalSet-Litho,MetalSet,Litho,100,256,Fourier,39.765282,0.997683,1.5e-05,4.30058
MetalSet-Litho,MetalSet,Litho,100,512,PointWise,45.907555,0.999485,4e-06,2.68714
MetalSet-Litho,MetalSet,Litho,100,512,Average,49.983154,0.999799,1e-06,2.446053
MetalSet-Litho,MetalSet,Litho,100,512,Fourier,45.871812,0.999352,4e-06,2.446845
MetalSet-Litho,MetalSet,Litho,100,1024,PointWise,51.747975,0.999866,1e-06,1.397698
MetalSet-Litho,MetalSet,Litho,100,1024,Average,54.731631,0.999932,0.0,1.034777
MetalSet-Litho,MetalSet,Litho,100,1024,Fourier,51.029563,0.999728,1e-06,1.056583
MetalSet-PixelILT,MetalSet,PixelILT,100,128,PointWise,15.909151,0.841848,0.026003,1.032151
MetalSet-PixelILT,MetalSet,PixelILT,100,128,Average,20.116256,0.936118,0.009861,0.591154
MetalSet-PixelILT,MetalSet,PixelILT,100,128,Fourier,14.903828,0.62885,0.032646,0.364524
MetalSet-PixelILT,MetalSet,PixelILT,100,256,PointWise,19.329283,0.928065,0.011833,1.034504
MetalSet-PixelILT,MetalSet,PixelILT,100,256,Average,23.073129,0.968663,0.004993,0.604331
MetalSet-PixelILT,MetalSet,PixelILT,100,256,Fourier,16.963208,0.728678,0.020248,0.398677
MetalSet-PixelILT,MetalSet,PixelILT,100,512,PointWise,23.705154,0.973724,0.004317,1.027685
